#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,6009.29,6023.25,5974.8,5982.06,0,,,,,,,
20250620,5950,C,79.0000,94.1000,54.6500,64.1500,1773,29873,0.2205613,0.6229887,0.0033356,1.9610069,-8.5062607,0.2727790
20250620,6000,C,42.0000,52.5500,27.2500,33.3500,15593,265004,0.1969578,0.4429235,0.0038830,2.0385608,-7.7783295,0.1948747
20250620,6050,C,17.0500,23.1000,10.6500,12.8500,22129,43454,0.1768741,0.2403006,0.0034066,1.6060850,-5.4390396,0.1061176
20250718,5950,C,157.8000,173.3500,139.1000,148.6500,8,8170,0.1813224,0.5856838,0.0012384,6.7630426,-2.5002919,2.8165975
20250718,6000,C,123.6000,138.1000,108.3000,116.2000,2922,71822,0.1628335,0.5232123,0.0014094,6.9116255,-2.2857608,2.5351829
20250718,6050,C,93.2000,105.8500,81.1500,87.4000,5944,14220,0.1528552,0.4490282,0.0014916,6.8667608,-2.1000273,2.1871286
20250620,5950,P,18.1000,37.5000,7.6000,30.0000,4994,27868,0.2205613,-0.3770113,0.0033356,1.9610069,-7.6100526,-0.1702330
20250620,6000,P,32.3500,54.4500,22.3000,49.2500,17566,255486,0.1969578,-0.5570765,0.0038830,2.0385608,-6.8745902,-0.2518601
20250620,6050,P,56.6000,89.0500,40.3500,79.2000,19218,38991,0.1768741,-0.7596994,0.0034066,1.6060850,-4.5277692,-0.3443399
20250718,5950,P,80.8000,105.3000,69.9000,97.4000,1285,8107,0.1813224,-0.4143162,0.0012384,6.7630426,-1.6078571,-2.1678538
20250718,6000,P,96.5000,119.3500,88.4000,114.6500,2827,67635,0.1628335,-0.4767877,0.0014094,6.9116255,-1.3858265,-2.4911545
20250718,6050,P,115.8000,145.0000,102.6000,135.6500,6151,11554,0.1528552,-0.5509718,0.0014916,6.8667608,-1.1925935,-2.8810949
